Sr.No.,Name of company,Year founded,Technology,Business Model,Location,Number of Employees,Revenue,Most Recent Funding Amount,Number of Funding Rounds
1,BLU Smart,2019,Ride-hailing for electric four-wheelers,App-based aggregator network for electric ride-hailing services,"Gurugram, India",,8500000.0,110000000.0,
2,Revolt Motors,2014,Electric motorcycle manufacturing,Manufacturer of AI-enabled electric motorcycles (RV300 and RV400),"Gurgaon, India",,22000000.0,20000000.0,
3,3EV Industries,2019,Electric three-wheeled utility vehicles and conversion kits,Manufacturing electric cargo vehicles and conversion kits,"Bengaluru, India",,10000000.0,5670000.0,
4,OLA Electric,2017,Electric scooter manufacturing,Manufacturer of electric scooters and developing electric vehicles,"Bengaluru, India",,230000000.0,1220000000.0,
5,EChargeup,2019,Electric rickshaw battery changing station provider,Provides electric battery swapping stations for electric rickshaws,"Delhi, India",,5000000.0,9560000.0,
6,Euler Moters,2015,E-rickshaws and fleet mobility solutions,Manufacturer of e-rickshaws and provider of fleet leasing solutions,"Delhi, India",,3000000.0,91900000.0,
7,SmartE,2015,Electric autorickshaw for last-mile transportation,Platform for hiring electric autorickshaws for last-mile transportation,"Delhi, India",,2000000.0,21700000.0,
8,Electric Pe,2021,App-based platform for finding EV charging stations,Assists users in locating EV charging facilities,"Bengaluru, India",,1000000.0,8289999.999999999,
9,EMotorad,2020,Electric bicycle manufacturing,Manufacturer of electric bicycles with various features,"Pune, India",,500000.0,5900000.0,
10,Ather Energy,2013,Electric scooter manufacturing,Designs and develops electric scooters with various features,"Bengaluru, India",,120000000.0,336000000.0,
11,BGauss,2019,Electric scooter manufacturing,"Features multiple riding modes, removable Li-ion batteries, and more","Mumbai, India",,20000000.0,7000000.0,
12,Yulu,2017,Electric bicycle rental platform,App-based platform for renting GPS and Bluetooth-enabled bicycles,"Bengaluru, India",,10000000.0,105000000.0,
13,Cell Propulsion,2016,Power conversion kit creator,Provides power conversion kits for electric fleets,"Bengaluru, India",,15000000.0,5260000.0,
14,Ultraviolette Automotive,2016,Electric motorcycle manufacturing,Creates electric motorcycles with various features,"Bengaluru, India",,5000000.0,63700000.0,
15,Emote Electric,2019,Smart Geared electric vehicles,"Creates Smart Geared electric vehicles, including the ""Surge"" e-motorcycle","Coimbatore, India",,3000000.0,,
16,Electorque,2019,Cloud-based solutions for electric micromobility,Provides hardware and software-enabled electric mobility solutions,"Delhi, India",,2000000.0,3170000.0,
17,BatterySmart,2020,Manufacturer of electric vehicle battery-swapping station network,Provides battery-swapping stations for electric vehicles,"Delhi, India",,1000000.0,41000000.0,
18,Tork Motors,2016,Electric motorcycle manufacturing,Manufacturer of electric motorcycles with various features,"Pune, India",,500000.0,4210000.0,
19,AltiGreen,2013,Electric three-wheeled cargo vehicles manufacturing,Creates several versions of three-wheeled utility vehicles,"Bengaluru, India",,5000000.0,48800000.0,
20,BOLT,2017,Online motorcycle rental network,Allows users to pick and hire e-bikes and mopeds online,"San Francisco, United States",,3000000.0,2500000.0,
21,Charge Zone,2018,Provider of EV charging solutions,Provides EV charging solutions for station operators via SaaS,"Vadodara, India",,2000000.0,71200000.0,
22,Corrit Electric,2019,Electric scooter manufacturing,Design and development of electric scooters for commuting and deliveries,"Gurgaon, India",,1000000.0,9210000.0,
23,Emflux Motors,2016,Electric bike manufacturing,Aims to create bikes with high acceleration and Li-ion battery,"Bengaluru, India",,500000.0,743000.0,
24,Etrio,2017,Electric automobiles and powertrain systems manufacturing,"Creates retrofitted light commercial vehicles, automobiles, and three-wheelers","Hyderabad, India",,5000000.0,3000000.0,
25,EVage,2019,Electric commercial vehicle development,"Designs and develops electric vans, pick-up trucks, minibuses, shuttles, and LEVs","Chandigarh, India",,3000000.0,32700000.000000004,
26,Evera Cabs,2019,App-based platform for electric cab services,Allows users to book electric cab services through the app,"Delhi, India",,2000000.0,7140000.0,
27,Exponent Energy,2020,Manufacturer of lithium-ion fast-charging batteries,Creates lithium-ion fast-charging batteries for various electric vehicles,"Bengaluru, India",,1000000.0,20600000.0,
28,FYN Mobility,2013,Online platform for electric vehicle rental,Offers electric vehicles for rent on an online platform for delivery professionals,"Bengaluru, India",,500000.0,2940000.0,
29,goEgoNetwork,2019,EV charging solution provider,"Develops end-to-end EV charging solutions, including hardware and software","Pune, India",,5000000.0,10000000.0,
30,Grinntech,2011,Lithium-ion e-rickshaw batteries,Sells lithium-ion e-rickshaw batteries and offers battery-related services,"Dehradun, India",,3000000.0,2000000.0,
31,Kazam EV,2020,Electric vehicle charging solutions provider,Provides electric vehicle chargers with hardware and software features,"Bengaluru, India",,31000000.0,5520000.0,
32,kWh Bikes,2020,Electric scooter manufacturing,Manufactures electric scooters with features such as a mobile app and LCD touch screen,"Bengaluru, India",,32000000.0,2000000.0,
33,Lithium Urban Technologies,2013,Electric urban transportation solutions,"Provides business customers with software, fleet/EVs, and charging infrastructure","Bengaluru, India",,33000000.0,28100000.0,
34,Lohum,2017,Li-ion battery pack production and recycling,Complete lifecycle solutions for low-power transportation and storage device producers,"Noida, India",,34000000.0,25100000.0,
35,Metastable Materials,2021,Lithium recycling technology,"Provides ways for extracting material from LiB, allowing for chemical-free lithium-ion battery treatment","Bengaluru, India",,35000000.0,229000.0,
36,MoEVing,2021,Electronic mobility solutions for intra-city last-mile deliveries,Provides electric delivery vans for freight transportation and charging station networks,"Gurgaon, India",,36000000.0,13500000.0,
37,MotoVolt,2020,Electric bicycle designing,"Creates electric bicycle models with features like disc brakes, detachable batteries, BLDC motors, lithium-ion batteries, etc.","Kolkata, India",,37000000.0,1920000.0,
38,Ohm Mobility,2020,EV finance solutions provider,"Provides technological framework for clean, connected, and shared mobility, along with digital payments and IoT data","Bengaluru, India",,38000000.0,367000.0,
39,Okinawa Scooters,2015,Electric scooter designing,"Creates various models of electric scooters with features like portable Li-ion batteries, dual tube shockers, headlights, app connectivity, etc.","Gurgaon, India",,39000000.0,,
40,Prakriti E-Mobility,2019,Electric car rental and charging station solutions provider,"Offers e-mobility services, charging stations, and business commute options","Delhi, India",,40000000.0,2100000.0,
41,PURE EV,2015,Electric two-wheeler manufacturing,"Creates electric scooters and electric bicycles with features like anti-theft smart locks, alloy wheels, LCD screens, etc.","Hyderabad, India",,41000000.0,6220000.0,
42,RACEnergy,2018,EV powertrain and battery changing station manufacturing,"Creates electric vehicles, energy storage systems, and powertrains with fast battery-changing stations","Hyderabad, India",,42000000.0,6000000.0,
43,SUN Mobility,2017,Electric vehicle swappable battery station operator,"Provides interchangeable battery stations for electric two- and three-wheelers, and buses","Bengaluru, India",,43000000.0,75800000.0,
44,TSUYO,2020,Motor designing for multi-category electric three-wheelers,"Creates BDLC motor models and controllers for electric rickshaws, carts, loaders, etc.","Delhi, India",,44000000.0,,
45,Vecmocon Technologies,2015,Electric vehicle technology solutions provider,"Offers battery management system, vehicle intelligence, chargers, motor controllers, EV cluster, fleet management solutions, etc.","Delhi, India",,45000000.0,6010000.0,
46,Zypp Electric,2017,Electric vehicle (EV) for delivery professionals through an app-based rental network,Provides electric two-wheelers for delivery specialists with app-based rentals,"Gurgaon, India",,46000000.0,37500000.0,
47,Bounce Infinity,2021,Electric scooter and battery-swapping solution developer,Creates electric scooters with swappable batteries,"Gurgaon, India",,47000000.0,234000000.0,
48,Bounce,2014,App-based platform for renting dockless two-wheelers,Allows users to rent dockless two-wheelers through a smartphone app,"Bengaluru, India",,48000000.0,199000000.0,
49,Log9 Materials,2015,Manufacturer of fuel cell battery packs with graphene and aluminium,"Creates technologies for renewable energy storage, including battery pack charging systems","Bengaluru, India",,49000000.0,89200000.0,
50,Hero Electric,2007,Electric scooter manufacturing,"Sells various models of electric scooters with features like Li-ion batteries, telescopic suspensions, LED headlights, etc.","Gurgaon, India",,50000000.0,72300000.0,
51,Storm Motors,2011,Electric vehicle manufacturing,Develops the Storm-R3 model electric car with features like remote-assisted parking system,"Mumbai, India",,51000000.0,681000.0,
52,Orxa Energies,2015,Electric motorcycle manufacturing,"Creates ""The Mantis"" electric motorcycle with features like swappable batteries and a range of 200 kilometers","Bengaluru, India",,52000000.0,5730000.0,
53,Simple Energy,2019,Electric scooter manufacturing,"Designs and develops electric scooters with features like a 236 km range, smart dashboard, etc.","Bengaluru, India",,53000000.0,53500000.0,
54,Spero Electric,2016,Electric bicycle manufacturing,Creates Li-ion battery-powered electric bikes with a range of 60 to 100 km,"Coimbatore, India",,54000000.0,50000.0,
55,Magenta Mobility,2017,AI and cloud-based platform for goods delivery via electric vehicles,Enables customers to use electric vehicles for transporting and delivering items,"Navi Mumbai, India",,55000000.0,56200000.0,
56,Maxwell Energy,2016,Manufacturer of electric vehicle battery management systems,Creates and provides cutting-edge electronics to OEMs for electric vehicles,"Mumbai, India",,56000000.0,,
57,Clean Electric,2016,Lithium-ion battery producer for various types of electric vehicles,Offers technology for temperature imbalances in battery packs with thermal management solutions,"Pune, India",,57000000.0,2350000.0,
58,RIVER,2021,Provider of complete self-driving electric car-sharing and management services,Creates self-driving cars with smartphone apps and fleet management services,"Bengaluru, India",,58000000.0,,
59,Statiq,2019,Electric vehicle charging station provider,Allows users to identify and reserve nearby charging stations using a smartphone app,"Gurgaon, India",,59000000.0,27500000.0,
